species,roc_auc,pr_auc,f1,mcc,n_test
cronobacter_sakazakii,0.9871794871794872,0.9770216548157724,0.9032258064516129,0.8456373715148616,41
edwardsiella_ictaluri,1.0,1.0,1.0,1.0,26
enterobacter_aerogenes,0.9772727272727273,0.7666666666666666,0.75,0.7196969696969697,37
enterobacter_cloacae,0.9913793103448276,0.94375,0.8888888888888888,0.8788707488040823,33
enterococcus_faecalis,0.9981634527089073,0.9981626087073947,0.9850746268656716,0.9701425001453319,66
enterococcus_faecium,1.0,1.0,1.0,1.0,24
enterovibrio norvegicus,0.9291164658634538,0.5930748402922266,0.7058823529411765,0.6991634226960187,269
erwinia_amylovora,1.0,1.0,1.0,1.0,48
escherichia_coli,0.9910848348348348,0.9978296473557255,0.9795918367346939,0.8893178695258005,270
flavobacterium_psychrophilum,1.0,1.0,1.0,1.0,40
gordonia_malaquae,1.0,1.0,1.0,1.0,34
gordonia_terrae,0.9993650793650793,0.9997500157470394,0.9672131147540983,0.8985179063458242,88
helicobacter_pylori,1.0,1.0,1.0,1.0,25
klebsiella_oxytoca,1.0,1.0,1.0,1.0,21
klebsiella_pneumoniae,1.0,0.9999999999999999,0.9836065573770492,0.954366773981019,47
lactobacillus_casei,1.0,1.0,1.0,1.0,32
lactobacillus_delbrueckii,1.0,1.0,0.9411764705882353,0.9146591207600472,25
lactobacillus_fermentum,1.0,1.0,1.0,1.0,32
lactobacillus_gasseri,1.0,1.0,1.0,1.0,28
lactobacillus_johnsonii,1.0,1.0,1.0,1.0,15
lactobacillus_paracasei,1.0,0.9999999999999998,1.0,1.0,23
lactobacillus_plantarum,1.0,1.0,0.5,0.5461186812727502,20
lactococcus_garvieae,1.0,1.0,1.0,1.0,26
lactococcus_lactis,1.0,1.0,0.9906542056074766,0.9698383472275607,77
leuconostoc_mesenteroides,0.9147727272727273,0.6031746031746033,0.8888888888888888,0.8528028654224417,30
leuconostoc_pseudomesenteroides,0.9545454545454546,0.6266666666666667,0.7142857142857143,0.6741998624632421,27
listeria_monocytogenes,1.0,0.9999999999999999,0.9795918367346939,0.9683359017431148,67
mannheimia_haemolytica,1.0,1.0,1.0,1.0,33
microbacterium_foliorum,1.0,0.9999999999999998,1.0,1.0,31
mycobacterium_smegmatis,1.0,0.9999999999999999,0.9742033383915023,0.7785846987958621,368
mycobacterium_tuberculosis,1.0,1.0,1.0,1.0,23
paenibacillus_larvae,1.0,0.9999999999999998,1.0,1.0,36
