phage,host,accession,cluster,subcluster,label,source
alaska,mycobacterium smegmatis,,,,1,phagesdb
alaskabullworm,gordonia terrae,,,,1,phagesdb
alatato,arthrobacter globiformis,PV915846,,,1,phagesdb
alatin,rhodococcus erythropolis,MF324905,,,1,phagesdb
alazne,mycobacterium smegmatis,,,,1,phagesdb
alba,arthrobacter sp.,,,,1,phagesdb
alba09,mycobacterium smegmatis,,,,1,phagesdb
albanese,arthrobacter sp.,OP434444,,,1,phagesdb
albano,microbacterium foliorum,,,,1,phagesdb
albatross,gordonia terrae,,,,1,phagesdb
albedo,microbacterium foliorum,OR475283,,,1,phagesdb
albee,mycobacterium smegmatis,KX817175,,,1,phagesdb
albert,arthrobacter sp.,,,,1,phagesdb
albert208,arthrobacter globiformis,,,,1,phagesdb
alberta,arthrobacter globiformis,,,,1,phagesdb
albertella,mycobacterium smegmatis,,,,1,phagesdb
alberto,mycobacterium smegmatis,,,,1,phagesdb
alberto11,mycobacterium smegmatis,,,,1,phagesdb
alberto7,mycobacterium smegmatis,PP725411,,,1,phagesdb
albertus,mycobacterium smegmatis,,,,1,phagesdb
albie,mycobacterium smegmatis,,,,1,phagesdb
albie4,microbacterium foliorum,,,,1,phagesdb
albina,microbacterium paraoxydans,,,,1,phagesdb
albita,arthrobacter globiformis,,,,1,phagesdb
albiter,streptomyces bicolor,,,,1,phagesdb
alborz,arthrobacter globiformis,,,,1,phagesdb
albrecht,mycobacterium smegmatis,,,,1,phagesdb
albright,microbacterium foliorum,MW601224,,,1,phagesdb
albuquerque,mycobacterium smegmatis,,,,1,phagesdb
albus,brevibacterium fuscum,,,,1,phagesdb
albusd,mycobacterium smegmatis,,,,1,phagesdb
alcatraz,mycobacterium smegmatis,,,,1,phagesdb
alcazar,mycobacterium smegmatis,,,,1,phagesdb
alchemist,gordonia terrae,,,,1,phagesdb
alcides,mycobacterium smegmatis,,,,1,phagesdb
alcor,mycobacterium smegmatis,,,,1,phagesdb
aldea,mycobacterium smegmatis,,,,1,phagesdb
aldees,gordonia terrae,,,,1,phagesdb
aldera,streptomyces venezuelae,,,,1,phagesdb
alderaan,streptomyces venezuelae,,,,1,phagesdb
aldiwaniya,mycobacterium smegmatis,,,,1,phagesdb
aldoraine,mycobacterium smegmatis,,,,1,phagesdb
aldrich,mycobacterium smegmatis,,,,1,phagesdb
ale4cedrone,mycobacterium smegmatis,,,,1,phagesdb
alebella,microbacterium foliorum,,,,1,phagesdb
alectobagnold,mycobacterium smegmatis,,,,1,phagesdb
alectrona,mycobacterium smegmatis,,,,1,phagesdb
aledel,arthrobacter sp.,MK112526,,,1,phagesdb
alee13,mycobacterium smegmatis,,,,1,phagesdb
aleemily,gordonia rubripertincta,ON970578,,,1,phagesdb
alegria,arthrobacter sp.,,,,1,phagesdb
aleia,mycobacterium smegmatis,,,,1,phagesdb
aleilo,mycobacterium smegmatis,,,,1,phagesdb
aleina,mycobacterium smegmatis,,,,1,phagesdb
alejandro,mycobacterium smegmatis,,,,1,phagesdb
alengela,microbacterium foliorum,,,,1,phagesdb
aleph,arthrobacter globiformis,,,,1,phagesdb
alephilan,gordonia rubripertincta,PV940995,,,1,phagesdb
aleppo,arthrobacter globiformis,,,,1,phagesdb
aleragrace,mycobacterium smegmatis,,,,1,phagesdb
alewife,gordonia rubripertincta,,,,1,phagesdb
alex,mycobacterium smegmatis,JX649100,,,1,phagesdb
alex44,microbacterium foliorum,MK894435,,,1,phagesdb
alexa,mycobacterium smegmatis,,,,1,phagesdb
alexadler,microbacterium foliorum,MG962360,,,1,phagesdb
alexander,mycobacterium smegmatis,,,,1,phagesdb
alexandra,mycobacterium smegmatis,,,,1,phagesdb
alexandria,mycobacterium smegmatis,,,,1,phagesdb
alexis,mycobacterium smegmatis,,,,1,phagesdb
